#
# ífñ ÉfÅ[É^ÉxÅ[ÉXÉtÉ@ÉCÉã
# 2004.01.12 M.TSUJI
# 2015.2.28
# É≈ÅFñ≥éüå≥ó  PintÇÃì«Ç›çûÇ›ÇÃÇΩÇﬂÅAâºÇ…m/mÇ∆Ç∑ÇÈ
SERIES,HS-,Hå`ç|ç◊ïù,H-HxBxt1xt2
FORMAT,H-,H,B,t1,t2
PROPERTY, H,  B, t1, t2, r , An ,   W ,  Ix, Iy , ix, iy,  Zx,  Zy, ib, É≈, Zpx, Zpy 
UNIT,    mm, mm, mm, mm, mm, cm**2, kgf/m, cm**4, cm**4, cm, cm, cm**3, cm**3, cm,   m/m, cm**3, cm**3
HS-,150,75,5,7,8,17.85,14,666,49.5,6.11,1.66,88.8,13.2,1.96,5.6,102,20.7
HS-,175,90,5,8,8,22.9,18,1210,97.5,7.26,2.06,138,21.7,2.39,5.81,156,33.6
HS-,198,99,4.5,7,8,22.69,17.8,1540,113,8.25,2.24,156,22.9,2.6,7.43,175,35.5
HS-,200,100,5.5,8,8,26.67,20.9,1810,134,8.23,2.24,181,26.7,2.63,6.57,205,41.6
HS-,248,124,5,8,8,31.99,25.1,3450,255,10.4,2.82,278,41.1,3.27,8.19,312,63.2
HS-,250,125,6,9,8,36.97,29,3960,294,10.4,2.82,317,47,3.3,7.33,358,72.7
HS-,298,149,5.5,8,13,40.8,32,6320,442,12.4,3.29,424,59.3,3.85,9.61,475,91.7
HS-,300,150,6.5,9,13,46.78,36.7,7210,508,12.4,3.29,481,67.7,3.87,8.61,542,105
HS-,346,174,6,9,13,52.45,41.2,11000,791,14.5,3.88,638,91,4.53,10,712,140
HS-,350,175,7,11,13,62.91,49.4,13500,984,14.6,3.96,771,112,4.6,8.35,864,173
HS-,396,199,7,11,13,71.41,56.1,19800,1450,16.6,4.5,999,145,5.23,9.45,1110,223
HS-,400,200,8,13,13,83.37,65.4,23500,1740,16.8,4.56,1170,174,5.29,8.13,1310,267
HS-,446,199,8,12,13,82.97,65.1,28100,1580,18.4,4.36,1260,159,5.16,9.64,1420,245
HS-,450,200,9,14,13,95.43,74.9,32900,1870,18.6,4.43,1460,187,5.23,8.4,1650,290
HS-,496,199,9,14,13,99.29,77.9,40800,1840,20.3,4.31,1650,185,5.14,9.16,1870,288
HS-,500,200,10,16,13,112.2,88.2,46800,2140,20.4,4.36,1870,214,5.2,8.13,2130,333
HS-,596,199,10,15,13,117.8,92.5,66600,1980,23.8,4.1,2240,199,5.03,10,2580,312
HS-,600,200,11,17,13,131.7,103,75600,2270,24,4.16,2520,227,5.09,8.98,2900,358
#
#
SERIES,HM-,Hå`ç|íÜïù,H-HxBxt1xt2
FORMAT,H-,H,B,t1,t2
PROPERTY, H,  B, t1, t2, r , An ,   W ,  Ix, Iy , ix, iy,  Zx,  Zy, ib, É≈, Zpx, Zpy 
UNIT,    mm, mm, mm, mm, mm, cm**2, kgf/m, cm**4, cm**4, cm, cm, cm**3, cm**3, cm,   m/m, cm**3, cm**3
HM-,148,100,6,9,8,26.35,20.7,1000,150,6.17,2.39,135,30.1,2.71,4.46,154,46.4
HM-,194,150,6,9,8,38.11,29.9,2630,507,8.3,3.65,271,67.6,4.09,5.87,301,103
HM-,244,175,7,11,13,55.49,43.6,6040,984,10.4,4.21,495,112,4.72,5.99,550,172
HM-,294,200,8,12,13,71.05,55.8,11100,1600,12.5,4.75,756,160,5.38,6.59,842,245
HM-,340,250,9,14,13,99.53,78.1,21200,3650,14.6,6.05,1250,292,6.79,6.6,1380,445
HM-,390,300,10,16,13,133.2,105,37900,7200,16.9,7.35,1940,480,8.19,6.66,2140,730
HM-,440,300,11,18,13,153.9,121,54700,8110,18.9,7.26,2490,540,8.16,6.65,2760,823
HM-,488,300,11,18,13,159.2,125,68900,8110,20.8,7.14,2820,540,8.1,7.32,3130,825
HM-,582,300,12,17,13,169.2,133,98900,7660,24.2,6.73,3400,511,7.9,9.01,3820,786
HM-,588,300,12,20,13,187.2,147,114000,9010,24.7,6.94,3890,601,8.01,7.85,4350,921
#
#
SERIES,HW-,Hå`ç|çLïù,H-HxBxt1xt2
FORMAT,H-,H,B,t1,t2
PROPERTY, H,  B, t1, t2, r , An ,   W ,  Ix, Iy , ix, iy,  Zx,  Zy, ib, É≈, Zpx, Zpy 
UNIT,    mm, mm, mm, mm, mm, cm**2, kgf/m, cm**4, cm**4, cm, cm, cm**3, cm**3, cm,   m/m, cm**3, cm**3
HW-,100,100,6,8,8,21.59,16.9,378,134,4.2,2.49,75.6,26.7,2.75,3.44,86.4,41
HW-,125,125,6.5,9,8,30,23.6,839,293,5.29,3.13,134,46.9,3.45,3.84,152,71.7
HW-,150,150,7,10,8,39.65,31.1,1620,563,6.4,3.77,216,75.1,4.15,4.15,243,114
HW-,175,175,7.5,11,13,51.42,40.4,2900,984,7.5,4.37,331,112,4.8,4.36,370,172
HW-,200,200,8,12,13,63.53,49.9,4720,1600,8.62,5.02,472,160,5.5,4.59,525,244
HW-,250,250,9,14,13,91.43,71.8,10700,3650,10.8,6.32,860,292,6.91,4.93,953,443
HW-,300,300,10,15,13,118.4,93,20200,6750,13.1,7.55,1350,450,8.28,5.52,1480,683
HW-,350,350,12,19,13,171.9,135,39800,13600,15.2,8.89,2280,776,9.71,5.11,2520,1180
HW-,400,400,13,21,22,218.7,172,66600,22400,17.5,10.1,3330,1120,11,5.25,3670,1700
#
#
SERIES,KP-,äpå`ç|ä«,Å†P-HxBxt
FORMAT,Å†P-,H,B,t
PROPERTY,H,B,t,An,W,Ix,Iy,ix,iy,Zx,Zy,Zpx,Zpy
UNIT,mm,mm,mm,cm**2,kgf/m,cm**4,cm**4,cm,cm,cm**3,cm**3,cm**3,cm**3
KP-,50,50,1.6,3.032,2.38,11.7,11.7,1.96,1.96,4.68,4.68,5.46,5.46
KP-,50,50,2.3,4.252,3.34,15.9,15.9,1.93,1.93,6.34,6.34,7.52,7.52
KP-,50,50,3.2,5.727,4.50,20.4,20.4,1.89,1.89,8.16,8.16,9.89,9.89
KP-,60,60,1.6,3.672,2.88,20.7,20.7,2.37,2.37,6.89,6.89,7.99,7.99
KP-,60,60,2.3,5.172,4.06,28.3,28.3,2.34,2.34,9.44,9.44,11.1,11.1
KP-,60,60,3.2,7.007,5.50,36.9,36.9,2.30,2.3,12.3,12.3,14.7,14.7
KP-,75,75,1.6,4.632,3.64,41.3,41.3,2.99,2.99,11.0,11.0,12.7,12.7
KP-,75,75,2.3,6.552,5.14,57.1,57.1,2.95,2.95,15.2,15.2,17.7,17.7
KP-,75,75,3.2,8.927,7.01,75.5,75.5,2.91,2.91,20.1,20.1,23.8,23.8
KP-,75,75,4.5,12.17,9.55,98.6,98.6,2.85,2.85,26.3,26.3,31.7,31.7
KP-,100,100,2.3,8.852,6.95,140,140.0,3.97,3.97,27.9,27.9,32.3,32.3
KP-,100,100,3.2,12.13,9.52,187,187.0,3.93,3.93,37.5,37.5,43.7,43.7
KP-,100,100,4.5,16.67,13.1,249,249.0,3.87,3.87,49.9,49.9,59.0,59.0
KP-,100,100,6.0,21.63,17.0,311,311.0,3.79,3.79,62.3,62.3,75.1,75.1
KP-,125,125,3.2,15.33,12.0,376,376.0,4.95,4.95,60.1,60.1,69.6,69.6
KP-,125,125,4.5,21.17,16.6,506,506.0,4.89,4.89,80.9,80.9,94.8,94.8
KP-,125,125,6.0,27.63,21.7,641,641.0,4.82,4.82,103 ,103.0,122,122.0
KP-,125,125,9.0,39.67,31.1,865,865.0,4.67,4.67,138 ,138.0,169,169.0
KP-,150,150,4.5,25.67,20.1,896,896.0,5.91,5.91,120 ,120.0,139,139.0
KP-,150,150,6.0,33.63,26.4,1150,1150.0,5.84,5.84,153 ,153.0,180,180.0
KP-,150,150,9.0,48.67,38.2,1580,1580.0,5.69,5.69,210 ,210.0,253,253.0
KP-,175,175,4.5,30.17,23.7,1450,1450.0,6.93,6.93,166 ,166.0,192,192.0
KP-,175,175,6.0,39.63,31.1,1860,1860.0,6.86,6.86,213 ,213.0,249,249.0
KP-,175,175,9.0,57.67,45.3,2600,2600.0,6.71,6.71,297 ,297.0,354,354.0
KP-,200,200,4.5,34.67,27.2,2190,2190.0,7.95,7.95,219 ,219.0,253,253.0
KP-,200,200,6.0,45.63,35.8,2830,2830.0,7.88,7.88,283 ,283.0,330,330.0
KP-,200,200,8.0,59.79,46.9,3620,3620.0,7.78,7.78,362 ,362.0,426,426.0
KP-,200,200,9.0,66.67,52.3,3990,3990.0,7.73,7.73,399 ,399.0,472,472.0
#
KP-,60,30,1.6,2.712,2.13,12.5,4.25,2.15,1.25,4.16,2.83,5.19,3.20
KP-,60,30,2.3,3.792,2.98,16.8,5.65,2.11,1.22,5.61,3.76,7.11,4.37
KP-,60,30,3.2,5.087,3.99,21.4,7.08,2.05,1.18,7.15,4.72,9.27,5.66
KP-,75,45,1.6,3.672,2.88,28.4,12.9,2.78,1.88,7.56,5.75,9.16,6.46
KP-,75,45,2.3,5.172,4.06,38.9,17.6,2.74,1.84,10.4,7.82,12.7,8.94
KP-,75,45,3.2,7.007,5.50,50.8,22.8,2.69,1.80,13.5,10.1,16.9,11.8
KP-,100,50,1.6,4.632,3.64,61.3,21.1,3.64,2.13,12.3,8.43,15.0,9.33
KP-,100,50,2.3,6.552,5.14,84.8,29.0,3.60,2.10,17.0,11.6,21.0,13.0
KP-,100,50,3.2,8.927,7.01,112,38.0,3.55,2.06,22.5,15.2,28.2,17.4
KP-,100,50,4.5,12.17,9.55,147,48.9,3.47,2.00,29.3,19.5,37.6,23.0
KP-,125,75,2.3,8.852,6.95,192,87.5,4.65,3.14,30.6,23.3,37.0,26.1
KP-,125,75,3.2,12.13,9.52,257,117,4.60,3.10,41.1,31.1,50.1,35.3
KP-,125,75,4.5,16.67,13.1,342,155,4.53,3.04,54.8,41.2,67.7,47.5
KP-,125,75,6.0,21.63,17.0,428,192,4.45,2.98,68.5,51.1,86.2,60.3
KP-,150,75,3.2,13.73,10.8,402,137,5.41,3.16,53.6,36.6,66.3,41.0
KP-,150,75,4.5,18.92,14.9,539,183,5.34,3.11,71.9,48.7,90.0,55.5
KP-,150,100,3.2,15.33,12.0,488,262,5.64,4.14,65.1,52.5,78.0,59.2
KP-,150,100,4.5,21.17,16.6,658,352,5.58,4.08,87.7,70.4,106,80.5
KP-,150,100,6.0,27.63,21.7,835,444,5.50,4.01,111,88.8,137,103
KP-,200,100,4.5,25.67,20.1,1330,455,7.20,4.21,133,90.9,165,102
KP-,200,100,6.0,33.63,26.4,1700,577,7.12,4.14,170,115,213,132
KP-,200,150,4.5,30.17,23.7,1760,1130,7.64,6.13,176,151,209,172
KP-,200,150,6.0,39.63,31.1,2270,1460,7.56,6.06,227,194,271,223
KP-,200,150,9.0,57.67,45.3,3170,2020,7.41,5.93,317,270,386,317
KP-,250,150,4.5,34.67,27.2,3000,1370,9.31,6.29,240,183,290,205
KP-,250,150,6.0,45.63,35.8,3890,1770,9.23,6.22,311,236,378,266
KP-,250,150,9.0,66.67,52.3,5480,2470,9.06,6.09,438,330,542,380
#
#
SERIES,P-,ç|ä«,P-Dxt
FORMAT,P-,D,t
PROPERTY,D,t,An,W,Ix,ix,Zx,Zxp
